Label,duration
spoof,1.97625
spoof,5.004625
spoof,3.6445
spoof,1.94425
spoof,1.980125
spoof,3.1353125
spoof,3.6438125
spoof,2.0385
spoof,4.3181875
spoof,2.35075
spoof,1.3175625
spoof,2.5535625
spoof,3.639375
spoof,1.5365625
spoof,3.753375
spoof,2.868125
spoof,1.8461875
spoof,2.277625
spoof,3.4528125
spoof,1.820875
spoof,4.2605
spoof,2.6666875
spoof,4.174875
spoof,3.4210625
spoof,2.1035625
spoof,3.412375
spoof,1.324625
spoof,2.558375
spoof,3.41025
spoof,3.104125
spoof,1.639875
spoof,2.04775
spoof,2.390875
spoof,2.492875
spoof,1.394
spoof,2.7499375
spoof,1.8335625
spoof,3.2508125
spoof,1.9994375
spoof,4.2003125
spoof,2.124875
spoof,2.0734375
spoof,2.9529375
spoof,5.0408125
spoof,3.105875
spoof,1.4678125
spoof,2.242375
spoof,2.379
spoof,2.2589375
spoof,1.9434375
spoof,3.488375
spoof,4.35975
spoof,1.54975
spoof,4.109125
spoof,2.3084375
spoof,3.40875
spoof,2.1219375
spoof,3.3310625
spoof,1.9680625
spoof,3.6691875
spoof,3.978625
spoof,3.42125
spoof,2.0743125
spoof,1.6199375
spoof,2.545625
spoof,1.978625
spoof,2.884
spoof,1.8961875
spoof,1.8575
spoof,2.375125
spoof,2.5784375
spoof,6.758375
spoof,5.0364375
spoof,2.045375
spoof,4.4774375
spoof,1.8705
spoof,3.0785625
spoof,2.1775
spoof,2.68375
spoof,2.7836875
spoof,2.6398125
spoof,3.1193125
spoof,2.82
spoof,3.319625
spoof,1.8223125
spoof,4.3316875
spoof,2.3038125
spoof,3.187
spoof,4.936375
spoof,4.4881875
spoof,3.0889375
spoof,2.5155
spoof,2.742375
spoof,2.4805
spoof,1.6596875
spoof,2.5934375
spoof,3.4923125
spoof,3.8568125
spoof,2.742625
spoof,4.529125
spoof,2.21725
spoof,2.0141875
spoof,2.1619375
spoof,3.242875
spoof,3.3066875
spoof,4.4064375
spoof,2.143125
spoof,2.323375
spoof,4.887125
spoof,3.024125
spoof,1.9069375
spoof,2.5294375
spoof,1.308625
spoof,3.327875
spoof,1.73975
spoof,2.5675625
spoof,2.808625
spoof,3.037875
spoof,3.7759375
spoof,1.5781875
spoof,3.440375
spoof,1.32725
spoof,3.9571875
spoof,1.867875
spoof,3.4058125
spoof,4.20475
spoof,1.98075
spoof,3.6421875
spoof,2.835375
spoof,5.4851875
spoof,1.94975
spoof,2.7751875
spoof,4.003375
spoof,4.5498125
spoof,2.731875
spoof,2.6250625
spoof,2.5268125
spoof,1.9410625
spoof,1.7
spoof,3.3500625
spoof,1.5351875
spoof,3.6265
spoof,3.4605
spoof,1.4513125
spoof,1.9464375
spoof,2.17475
spoof,1.4884375
spoof,4.615875
spoof,4.0046875
spoof,2.9906875
spoof,3.7566875
spoof,2.1099375
spoof,3.292
spoof,5.3625
spoof,1.212625
spoof,3.390125
spoof,4.07575
spoof,3.6771875
